;LEERINHOUD;;;;;;;;;;;;;;OPMERKINGEN
;Lesinhoud;Doel;Eindtermen tweede graad, basisvorming doorstroomfinaliteit;Cesuurdoelen tweede graad;NIEUW • Bedrijfswetenschappen (tweede graad);NIEUW • Biotechnieken;NIEUW • Natuurwetenschappen;Wiskunde B+;Wiskunde B+S;Wiskunde B+S';Wiskunde B - II - D;Wiskunde B+S'';Wiskundeplan tweede graad (5u);;
Diagnostische module;;;;;;;;;;;;;;;
;1 Stelling van Pythagoras;;;;;;;;;;;;;;
;;Ik kan de stelling van Pythagoras formuleren en toepassen.;06.06;;;;;II-Wis'-d 10;II-WisS-d A10;II-WisS'-d 10;II-Wis-d 10;II-WisS''-d 10;2ME01-1;;
;2 De omgekeerde stelling van Pythagoras;;;;;;;;;;;;;;
;;Ik kan met behulp van de stelling van Pythagoras bepalen of een driehoek rechthoekig is als de lengtes van de zijden gegeven zijn.;06.06;;;;;II-Wis'-d 10;II-WisS-d A10;II-WisS'-d 10;II-Wis-d 10;II-WisS''-d 10;2ME01-2;;
;3 Toepassingen in de vlakke meetkunde;;;;;;;;;;;;;;
;;Ik kan de stelling van Pythagoras gebruiken in toepassingen in de vlakke meetkunde.;06.06;;;;;II-Wis'-d 10;II-WisS-d A10;II-WisS'-d 10;II-Wis-d 10;II-WisS''-d 10;2ME01-3;;
;4 Toepassingen in de ruimte;;;;;;;;;;;;;;
;;Ik kan de stelling van Pythagoras gebruiken in toepassingen in de ruimte.;06.06;;;;;II-Wis'-d 10;II-WisS-d A10;II-WisS'-d 10;II-Wis-d 10;II-WisS''-d 10;2ME01-3;;
;5 Toepassingen in de analytische meetkunde;;;;;;;;;;;;;;
;;Ik kan de stelling van Pythagoras gebruiken in toepassingen in de analytische meetkunde.;06.06;;;;;II-Wis'-d 10;II-WisS-d A10;II-WisS'-d 10;II-Wis-d 10;II-WisS''-d 10;2ME01-3;;
;;;;;;;;;;;;;;;
12 Eerstegraadsfuncties en constante functies;;;;;;;;;;;;;;;
;1 Eerstegraadsfuncties;;;;;;;;;;;;;;
;;Ik ken de definitie van een eerstegraadsfunctie en kan een functievoorschrift interpreteren.;06.12;;;;;II-Wis'-d 17;II-WisS-d A21;II-WisS'-d 17;II-Wis-d 17;II-WisS''-d 21;2AN02-1, 2AN01-1;;
;2 De grafiek van een eerstegraadsfunctie;;;;;;;;;;;;;;
;;Ik kan de grafiek van een eerstegraadsfunctie tekenen en het verloop van de functie bespreken.;06.13;;;;;II-Wis'-d 19, II-Wis'-d 18;II-WisS-d A22, II-WisS-d A23;II-WisS'-d 18, II-WisS'-d 19;II-Wis-d 19, II-Wis-d 18;II-WisS''-d 22, II-WisS''-d 23;2AN02-2, 2AN02-1;;
;3 Tekenverandering bij een eerstegraadsfunctie;;;;;;;;;;;;;;
;;Ik kan de tekenverandering van een eerstegraadsfunctie onderzoeken en interpreteren op de grafiek.;06.14;;;;;II-Wis'-d 20;II-WisS-d A24;II-WisS'-d 20;II-Wis-d 20;II-WisS''-d 24;2AN02-3;;
;4 Functievoorschrift opstellen;;;;;;;;;;;;;;
;;Ik kan het functievoorschrift van een eerstegraadsfunctie opstellen aan de hand van een grafiek of tabel.;06.13;;;;;II-Wis'-d 19;II-WisS-d A23;II-WisS'-d 19;II-Wis-d 19;II-WisS''-d 23;2AN02-2;;
;5 Constante functies;;;;;;;;;;;;;;
;;Ik kan een constante functie definiëren en het functievoorschrift ervan opstellen.;06.13, 06.12;;;;;II-Wis'-d 19, II-Wis'-d 17;II-WisS-d A23, II-WisS-d A21;II-WisS'-d 19, II-WisS'-d 17;II-Wis-d 19, II-Wis-d 17;II-WisS''-d 23, II-WisS''-d 21;2AN02-2, 2AN01-1;;
;6 Vergelijkingen en ongelijkheden grafisch oplossen;;;;;;;;;;;;;;
;;Ik kan vergelijkingen en ongelijkheden van de eerste graad in één onbekende grafisch oplossen.;06.10;;;;;II-Wis'-d 21;II-WisS-d A25;II-WisS'-d 21;II-Wis-d 21;II-WisS''-d 25;2AL02-2, 2AL02-1;;
;7 Problemen oplossen;;;;;;;;;;;;;;
;;Ik kan problemen oplossen waarbij het verband beschreven wordt door een eerstegraadsfunctie.;06.22, 06.14, 06.10;;;;;II-Wis'-d 2, II-Wis'-d 20, II-Wis'-d 21;II-WisS-d A2, II-WisS-d A25, II-WisS-d A24;II-WisS'-d 2, II-WisS'-d 20, II-WisS'-d 21;II-Wis-d 20, II-Wis-d 2, II-Wis-d 21;II-WisS''-d 25, II-WisS''-d 24, II-WisS''-d 2;A3, 2AL02-3;;
;;;;;;;;;;;;;;;
13 Driehoeksmeting in rechthoekige driehoeken;;;;;;;;;;;;;;;
;1 Goniometrische getallen van een scherpe hoek in een rechthoekige driehoek;;;;;;;;;;;;;;
;;Ik kan de goniometrische getallen van een scherpe hoek in een rechthoekige driehoek definiëren en berekenen.;06.07;;;;;II-Wis'-d 11;II-WisS-d A11;II-WisS'-d 11;II-Wis-d 11;II-WisS''-d 11;2ME03-1;;
;2 Fundamentele formules in de driehoeksmeting;;;;;;;;;;;;;;
;;Ik kan de fundamentele formules van de goniometrie bewijzen en gebruiken voor het rekenen met goniometrische getallen.;06.07;;;;;II-Wis'-d 11;II-WisS-d A11;II-WisS'-d 11;II-Wis-d 11;II-WisS''-d 11;2ME03-3;;
;3 Het oplossen van vraagstukken met rechthoekige driehoeken;;;;;;;;;;;;;;
;;Ik kan goniometrische getallen gebruiken bij het oplossen van problemen.;06.07;;;;;II-Wis'-d 11;II-WisS-d A11;II-WisS'-d 11;II-Wis-d 11;II-WisS''-d 11;2ME03-2;;
;;;;;;;;;;;;;;;
14 Consolidatie;;;;;;;;;;;;;;;
;;Ik kan school- en vaktaal gebruiken.;13.3;;;;;;;;;;A5;;
;;Ik kan de reeds verworven leerstof toepassen in een andere context.;13.1;;;;;;;;;;;;
;;Ik kan vraagstukken en problemen oplossen door te mathematiseren en demathematiseren en door gebruik te maken van heuristieken.;06.22;;;;;;;;;;A3;;
;;Ik kan de wisselwerking tussen wetenschappen, technologie, wiskunde en de maatschappij illustreren aan de hand van maatschappelijke uitdagingen.;06.53;;;;;;;;;;A2;;
;;;;;;;;;;;;;;;
15 Vergelijking van rechten;;;;;;;;;;;;;;;
;1 De vergelijking van de grafiek van een eerstegraadsfunctie;;;;;;;;;;;;;;
;;Ik kan vergelijkingen in de eerste graad met twee onbekenden herkennen als vergelijkingen van rechten in het vlak en deze grafisch voorstellen.;;;;;;;;;;;;;
;2 Rechten evenwijdig met één van de assen;;;;;;;;;;;;;;
;;Ik herken de vergelijking van een rechte evenwijdig met de y-as.;06.13, 06.12;;;;;II-Wis'-d 19, II-Wis'-d 17;II-WisS-d A23, II-WisS-d A21;II-WisS'-d 19, II-WisS'-d 17;II-Wis-d 19, II-Wis-d 17;II-WisS''-d 23, II-WisS''-d 21;2AN02-2, 2ME04-4, 2AN01-1;;
;3 De cartesische vergelijking van een rechte opstellen;;;;;;;;;;;;;;
